1011,  1204,  completed,  eof,  2013-08-29 18:26:45,  2013-08-29 18:27:15,  30,  modelParams|clParams|alpha_0.0001.modelParams|tpParams|minThreshold_9.modelParams|tpParams|activationThreshold_12.modelParams|tpParams|pamLength_1.modelParams|inferenceType_TemporalMultiStep.modelParams|spParams|synPermInactiveDec_0.0124229392394,  2236,  0.0001,  9,  12,  1,  TemporalMultiStep,  0.0124229392394,  0.819, 
1011,  1205,  completed,  eof,  2013-08-29 18:27:12,  2013-08-29 18:27:42,  30,  modelParams|clParams|alpha_0.00934042766598.modelParams|tpParams|minThreshold_9.modelParams|tpParams|activationThreshold_12.modelParams|tpParams|pamLength_1.modelParams|inferenceType_TemporalMultiStep.modelParams|spParams|synPermInactiveDec_0.0177688177181,  2236,  0.00934042766598,  9,  12,  1,  TemporalMultiStep,  0.0177688177181,  0.877, 
1011,  1206,  completed,  eof,  2013-08-29 18:27:15,  2013-08-29 18:27:36,  21,  modelParams|clParams|alpha_0.0162165785652.modelParams|tpParams|minThreshold_9.modelParams|tpParams|activationThreshold_13.modelParams|tpParams|pamLength_2.modelParams|inferenceType_NontemporalMultiStep.modelParams|spParams|synPermInactiveDec_0.01970772102,  2236,  0.0162165785652,  9,  13,  2,  NontemporalMultiStep,  0.01970772102,  0.877, 
1011,  1207,  completed,  killed,  2013-08-29 18:27:36,  2013-08-29 18:27:42,  6,  modelParams|clParams|alpha_0.001973125.modelParams|tpParams|minThreshold_9.modelParams|tpParams|activationThreshold_12.modelParams|tpParams|pamLength_1.modelParams|inferenceType_NontemporalMultiStep.modelParams|spParams|synPermInactiveDec_0.00678125,  650,  0.001973125,  9,  12,  1,  NontemporalMultiStep,  0.00678125,  0.876996805112, 


jobID,  modelID,  status,  completionReason,  startTime,  endTime,  runtime(s),  expDesc,  numRecords,  modelParams|clParams|alpha,  modelParams|tpParams|minThreshold,  modelParams|tpParams|activationThreshold,  modelParams|tpParams|pamLength,  modelParams|inferenceType,  modelParams|spParams|synPermInactiveDec,  multiStepBestPredictions:multiStep:errorMetric='avg_err':steps=[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]:window=1000:field=letter, 
1012,  1208,  completed,  eof,  2013-08-29 18:42:04,  2013-08-29 18:42:36,  32,  modelParams|clParams|alpha_0.05005.modelParams|tpParams|minThreshold_11.modelParams|tpParams|activationThreshold_14.modelParams|tpParams|pamLength_3.modelParams|inferenceType_NontemporalMultiStep.modelParams|spParams|synPermInactiveDec_0.0525,  2236,  0.05005,  11,  14,  3,  NontemporalMultiStep,  0.0525,  0.883, 
1012,  1219,  completed,  eof,  2013-08-29 18:42:04,  2013-08-29 18:42:50,  46,  modelParams|clParams|alpha_0.0001.modelParams|tpParams|minThreshold_9.modelParams|tpParams|activationThreshold_12.modelParams|tpParams|pamLength_1.modelParams|inferenceType_TemporalMultiStep.modelParams|spParams|synPermInactiveDec_0.005,  2236,  0.0001,  9,  12,  1,  TemporalMultiStep,  0.005,  0.7717, 
1012,  1220,  completed,  eof,  2013-08-29 18:42:36,  2013-08-29 18:43:03,  27,  modelParams|clParams|alpha_0.1.modelParams|tpParams|minThreshold_12.modelParams|tpParams|activationThreshold_16.modelParams|tpParams|pamLength_5.modelParams|inferenceType_NontemporalMultiStep.modelParams|spParams|synPermInactiveDec_0.1,  2236,  0.1,  12,  16,  5,  NontemporalMultiStep,  0.1,  0.8921, 
1012,  1221,  completed,  eof,  2013-08-29 18:42:50,  2013-08-29 18:43:36,  46,  modelParams|clParams|alpha_0.025075.modelParams|tpParams|minThreshold_10.modelParams|tpParams|activationThreshold_13.modelParams|tpParams|pamLength_2.modelParams|inferenceType_TemporalMultiStep.modelParams|spParams|synPermInactiveDec_0.02875,  2236,  0.025075,  10,  13,  2,  TemporalMultiStep,  0.02875,  0.842, 
1012,  1222,  completed,  eof,  2013-08-29 18:43:03,  2013-08-29 18:43:30,  27,  modelParams|clParams|alpha_0.075025.modelParams|tpParams|minThreshold_11.modelParams|tpParams|activationThreshold_15.modelParams|tpParams|pamLength_4.modelParams|inferenceType_NontemporalMultiStep.modelParams|spParams|synPermInactiveDec_0.07625,  2236,  0.075025,  11,  15,  4,  NontemporalMultiStep,  0.07625,  0.8895, 
1012,  1223,  completed,  eof,  2013-08-29 18:43:30,  2013-08-29 18:44:14,  44,  modelParams|clParams|alpha_0.0145852851107.modelParams|tpParams|minThreshold_9.modelParams|tpParams|activationThreshold_12.modelParams|tpParams|pamLength_2.modelParams|inferenceType_TemporalMultiStep.modelParams|spParams|synPermInactiveDec_0.0150958784787,  2236,  0.0145852851107,  9,  12,  2,  TemporalMultiStep,  0.0150958784787,  0.8359, 
1012,  1224,  completed,  eof,  2013-08-29 18:43:36,  2013-08-29 18:44:20,  44,  modelParams|clParams|alpha_0.0001.modelParams|tpParams|minThreshold_9.modelParams|tpParams|activationThreshold_12.modelParams|tpParams|pamLength_1.modelParams|inferenceType_TemporalMultiStep.modelParams|spParams|synPermInactiveDec_0.005,  2236,  0.0001,  9,  12,  1,  TemporalMultiStep,  0.005,  0.7717, 
